,Name,Park,City,State,Country,Status,Status Date,Material,Seating,Thrill,Make,Model,Length,Height,Drop,Speed,Inversions,VerticalAngle,Duration,G-Force
10,Alpine Coaster,Smoky Mountain Alpine Coaster,Pigeon Forge,Tennessee,United States,Operating,2013,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3937,,,,0,,,
11,Alpine Mountain Coaster,Mountain Creek Waterpark,Vernon,New Jersey,United States,Operating,2011,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2805.1,,,,0,,,
12,American Dreier Looping,Indiana Beach,Monticello,Indiana,United States,Under Construction,2022,Steel,Sit Down,Extreme,Schwarzkopf,,3379.3,108.3,100.9,53.4,3,,,6.1
13,American Eagle,Six Flags Great America,Gurnee,Illinois,United States,Operating,1981-05-23,Wood,Sit Down,Extreme,Intamin Amusement Rides,Other,4650,127,147,66,0,55,2:23,
14,American Thunder,Six Flags St. Louis,Eureka,Missouri,United States,Operating,2008-06-20,Wood,Sit Down,Thrill,Great Coasters International,Wooden Coasters,2713,82,80,48,0,,,
15,Anaconda,Kings Dominion,Doswell,Virginia,United States,Operating,1991-03-23,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2700,128,144,50,4,,1:50,
16,Apocalypse the Ride,Six Flags Magic Mountain,Valencia,California,United States,Operating,2009-05-23,Wood,Sit Down,Extreme,Great Coasters International,Wooden Coasters,2877,95,87.3,50.1,0,,3:00,
17,Apollo's Chariot,Busch Gardens Williamsburg,Williamsburg,Virginia,United States,Operating,1999-03-27,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,4882,170,210,73,0,65,2:15,4.1
18,Apple Zapple,Kings Dominion,Doswell,Virginia,United States,Operating,2002-03-23,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,1312.3,51.8,49.8,35,0,,,
19,Aquaman: Power Wave,Six Flags Over Texas,Arlington,Texas,United States,Under Construction,2022,Steel,Sit Down,Extreme,Mack Rides GmbH & Co KG,PowerSplash,708.7,146.3,,62.1,0,90,,
20,ArieForce One,Fun Spot America Atlanta,Fayetteville,Georgia,United States,Under Construction,2022,Steel,Sit Down,Extreme,Rocky Mountain Construction,IBox Track,3400,155,146,64,4,83,,
21,Arkansas Twister,Magic Springs Theme and Water Park,Hot Springs,Arkansas,United States,Operating,1992-05-30,Wood,Sit Down,Extreme,Michael Black and Associates,,3340,95,92,,0,,,
22,Avalanche,Kings Dominion,Doswell,Virginia,United States,Operating,1988,Steel,Bobsled,Thrill,Mack Rides GmbH & Co KG,Bobsled,,,,41,0,,,
23,Avatar Airbender,Nickelodeon Universe,Bloomington,Minnesota,United States,Operating,2008-03-15,Steel,Sit Down,Thrill,Intamin Amusement Rides,Surfrider,,70,,,0,,,
0,Back at the Barnyard Hayride,Nickelodeon Universe,Bloomington,Minnesota,United States,Operating,1995,Steel,Sit Down,Family,Zamperla,Powered Coaster,,,,,0,,1:30,
1,Backlot Stunt Coaster,Kings Island,Mason,Ohio,United States,Operating,2005-05-20,Steel,Sit Down,Thrill,Premier Rides,,1960,45.2,31.2,40,0,,1:04,
2,Backlot Stunt Coaster,Kings Dominion,Doswell,Virginia,United States,Operating,2006-05-27,Steel,Sit Down,Thrill,Premier Rides,,1960,45.2,31.2,40,0,,1:04,
3,Banshee,Kings Island,Mason,Ohio,United States,Operating,2014-04-18,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,4124,167,150,68,7,,2:40,
4,Barnstormer,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,United States,Operating,1996,Steel,Sit Down,Family,Vekoma,Junior Coaster,794,30,,25,0,,1:00,
5,Barnyard Coaster,4D Farm,Cullman,Alabama,United States,Operating,2019,Steel,Sit Down,Kiddie,Allan Herschell Company,Kiddie Coaster,,,,,0,,,
6,Barnyard Dance,Bengtson's Pumpkin Farm,Homer Glen,Illinois,United States,Operating,2017-09-22,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
7,Barracuda,Jolly Roger Amusement Park,Ocean City,Maryland,United States,Operating,2019-06-04,Steel,Sit Down,Thrill,Zierer,Other,,,,,0,,,
8,Barreling Rapids,Austin's Park,Pflugerville,Texas,United States,Operating,2021-04-16,Steel,Sit Down,Family,SBF Visa Group,Spinning Coasters,393.7,20,,11.2,0,,,
9,Bat,Kings Island,Mason,Ohio,United States,Operating,1993-04-09,Steel,Suspended,Thrill,Arrow Dynamics,Suspended Coaster,2352,78,,51,0,,1:52,
10,Bat,Lagoon,Farmington,Utah,United States,Operating,2005-04-16,Steel,Inverted,Family,Vekoma,Suspended Family Coaster,1122,48.6,,26,0,,1:30,2.2
11,Batman - The Dark Knight,Six Flags New England,Agawam,Massachusetts,United States,Operating,2002-04-20,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,2600,117.8,,55,5,,2:20,
12,Batman The Ride,Six Flags Great America,Gurnee,Illinois,United States,Operating,1992-05-09,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2700,100,,50,5,,2:00,
13,Batman The Ride,Six Flags Magic Mountain,Valencia,California,United States,Operating,1994-03-26,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2700,105,,50,5,,2:00,4
14,Batman The Ride,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1993-05-01,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2693,105,,50,5,,1:30,
15,Batman The Ride,Six Flags St. Louis,Eureka,Missouri,United States,Operating,1995-04-22,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2693,105,,50,5,,2:00,4
16,Batman The Ride,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1997-05-03,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2700,105,,50,5,,2:00,4
17,Batman The Ride,Six Flags Over Texas,Arlington,Texas,United States,Operating,1999-05-26,Steel,Inverted,Extreme,Bolliger & Mabillard,Inverted Coaster,2700,105,,50,5,,2:00,4
18,Batman The Ride,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,2015-05-23,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,54,38,0,,,
19,Batman The Ride,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,2019-05-25,Steel,Wing,Extreme,S&S Sansei Technologies,4D Free Spin,1019,120,55,38,0,,,
20,Batwing,Six Flags America,Upper Marlboro,Maryland,United States,Operating,2001-06-16,Steel,Flying,Extreme,Vekoma,Flying Dutchman,3339.9,115,,50,5,,2:02,4.3
21,Bear Trax,Seabreeze,Rochester,New York,United States,Operating,1997,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
22,Beast,Kings Island,Mason,Ohio,United States,Operating,1979-04-14,Wood,Sit Down,Extreme,,,7359,110,141,64.8,0,,4:10,
23,Beast Mountain Coaster,Killington Resort,Killington,Vermont,United States,Operating,2015-07-25,Steel,Sit Down,Thrill,Aquatic Development Group,,4800,,,,0,,,
0,Big Apple,Cotaland,Austin,Texas,United States,Operating,2021,Steel,Sit Down,Family,Levent Lunapark,Bruco Mela,452.8,,,,0,,,
1,Big Apple Coaster,"New York, New York Hotel & Casino",Las Vegas,Nevada,United States,Operating,1997-01-03,Steel,Sit Down,Extreme,Togo,Sitdown Looping,4777,203,144,67,2,55,2:40,
2,Big Bad John,Magic Springs Theme and Water Park,Hot Springs,Arkansas,United States,Operating,2002,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2349,32,41,37,0,,3:00,
3,Big Dipper,Camden Park,Huntington,West Virginia,United States,Operating,1958,Wood,Sit Down,Thrill,National Amusement Device Company,,,,,,0,,1:40,
4,Big Thunder Mountain Railroad,Disneyland,Anaheim,California,United States,Operating,1979,Steel,Sit Down,Thrill,Dynamic Attractions,,2671,,,28,0,,,
5,Big Thunder Mountain Railroad,Walt Disney World - Magic Kingdom,Lake Buena Vista,Florida,United States,Operating,1980-11-15,Steel,Sit Down,Thrill,,,2780,,,36,0,,3:30,
6,Big Timber Log Ride,Enchanted Forest,Turner,Oregon,United States,Operating,1996,Steel,Sit Down,Thrill,E&F Miler Industries,Water Coaster,,,40,,0,,,
7,Bizarro,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,1999-04-02,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,3985,142,132,61,7,,2:20,
8,Black Diamond,Knoebels Amusement Resort,Elysburg,Pennsylvania,United States,Operating,2011-10-08,Steel,Sit Down,Family,"Philadelphia Toboggan Coasters, Inc.",,,35,,,0,,,
9,Blazin' Buckaroo,Elitch Gardens,Denver,Colorado,United States,Operating,2013-05-04,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
10,Blazing Fury,Dollywood,Pigeon Forge,Tennessee,United States,Operating,1978-06-06,Steel,Sit Down,Family,,,1520,22,,22,0,,,
11,Blue Hawk,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1992-03-01,Steel,Sit Down,Extreme,Vekoma,MK-1200,2739.5,122,,52,5,,1:20,
12,Blue Streak,Cedar Point,Sandusky,Ohio,United States,Operating,1964-05-23,Wood,Sit Down,Thrill,"Philadelphia Toboggan Coasters, Inc.",,2558,78,72,40,0,45,1:45,
13,Boardwalk Bullet,Kemah Boardwalk,Kemah,Texas,United States,Operating,2007-08-31,Wood,Sit Down,Extreme,Martin & Vleminckx,,3236,96,92,51,0,56,,
14,Bobsleds,Seabreeze,Rochester,New York,United States,Operating,1954,Steel,Sit Down,Family,,,1240,31,,23,0,,,
15,Bombora,Lagoon,Farmington,Utah,United States,Operating,2011-04-02,Steel,Sit Down,Family,ART Engineering GmbH,Junior Coaster,1040,45,,31,0,,,
16,Bone Shaker,Mattel Adventure Park,Glendale,Arizona,United States,Under Construction,2022,Steel,Sit Down,Family,Chance Rides,,,,,,0,,,
17,Boomerang,Wild Adventures,Valdosta,Georgia,United States,Operating,1998,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
18,Boomerang,Six Flags Fiesta Texas,San Antonio,Texas,United States,Operating,1999-03-13,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
19,Boomerang,Elitch Gardens,Denver,Colorado,United States,Operating,1999-04-30,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
20,Boomerang,Worlds of Fun,Kansas City,Missouri,United States,Operating,2000-04-08,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
21,Boomerang,Six Flags St. Louis,Eureka,Missouri,United States,Operating,2013-06-08,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
22,Boomerang Coast to Coaster,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,1998-03-27,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
23,Boomerang Coast to Coaster,Six Flags Darien Lake,Darien Center,New York,United States,Operating,1998-05-16,Steel,Sit Down,Extreme,Vekoma,Other,935,116.5,,47,3,,1:48,5.2
0,Boss,Six Flags St. Louis,Eureka,Missouri,United States,Operating,2000-04-29,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,4631,122,150,66.3,0,52,,
1,Boulder Dash,Lake Compounce,Bristol,Connecticut,United States,Operating,2000-05-21,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,4725,,115,60,0,,2:30,
2,Breathtaker,Aspen Snowmass Ski Resort,Snowmass Village,Colorado,United States,Operating,2017,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,2719.8,,,28,0,,,
3,Bubbles The Coaster,Storybook Land,Egg Harbor Township,New Jersey,United States,Operating,2000,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
4,Buffalo Hunt,Fort Hays Chuckwagon,Rapid City,South Dakota,United States,Operating,2020-10-03,Steel,Suspended,Family,Wiegand,Mystical Hex,,,,,0,,,
5,Candy Cane Coaster,Santa's Workshop,Cascade,Colorado,United States,Operating,1980,Steel,Sit Down,Kiddie,Molina & Son's,,,,,,0,,,
6,Candymonium,Hersheypark,Hershey,Pennsylvania,United States,Operating,2020-07-03,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,4636,210,,76,0,77.3,2:26,
7,Cannibal,Lagoon,Farmington,Utah,United States,Operating,2015-07-02,Steel,Sit Down,Extreme,ART Engineering GmbH,Mega-Coaster,2735,208,,70,4,116,2:30,
8,Cannon Ball,Lake Winnepesaukah,Rossville,Georgia,United States,Operating,1967,Wood,Sit Down,Thrill,"Philadelphia Toboggan Coasters, Inc.",,2272,70,70,50,0,,,
9,Canyon Blaster,Adventuredome,Las Vegas,Nevada,United States,Operating,1993-08-23,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2423,94,66,41,4,,1:30,
10,Canyon Blaster,Six Flags Magic Mountain,Valencia,California,United States,Operating,1999,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,8,,10,0,,,
11,Canyon Blaster,Great Escape,Queensbury,New York,United States,Operating,2003-06-27,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2036,56,,45,0,,2:30,
12,Canyon Coaster,Canyon Coaster Adventure Park,Williams,Arizona,United States,Under Construction,2022,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,,,,,0,,,
13,Carolina Cyclone,Carowinds,Charlotte,North Carolina,United States,Operating,1980-03-22,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2100,95,65,41,4,,1:30,
14,Carolina Goldrusher,Carowinds,Charlotte,North Carolina,United States,Operating,1973,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2397,,,,0,,2:17,
15,Catwoman's Whip,Six Flags New England,Agawam,Massachusetts,United States,Operating,2000-05-05,Steel,Sit Down,Family,Zierer,Tivoli,1181.1,26.3,,22.4,0,,,
16,Cedar Creek Mine Ride,Cedar Point,Sandusky,Ohio,United States,Operating,1969-05-24,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2540,48,,42,0,,2:42,
17,Centi-SPEED,Alabama Adventure & Splash Adventure,Bessemer,Alabama,United States,Operating,2014,Steel,Sit Down,Family,Fajume,Wacky Worm,,,,,0,,,
18,Cheddar Chase,Alabama Adventure & Splash Adventure,Bessemer,Alabama,United States,Under Construction,2022,Steel,Sit Down,Thrill,L&T Systems,Wild Mouse,,,,,0,,,
19,Cheetah Hunt,Busch Gardens Tampa,Tampa,Florida,United States,Operating,2011-05-27,Steel,Sit Down,Extreme,Intamin Amusement Rides,LSM Launch Coaster,4429,102,130,60,1,,,4
20,Circus Coaster,Luna Park,Brooklyn,New York,United States,Operating,2010-05-29,Steel,Sit Down,Family,Zamperla,Other,574.2,29.5,,18.6,0,,,
21,Classic Coaster,Washington State Fair,Puyallup,Washington,United States,Operating,1935,Wood,Sit Down,Thrill,,,2650,55,52,50,0,63,1:45,
22,Cliff Hanger,Ghost Town Village,Maggie Valley,North Carolina,United States,SBNO,2010,Steel,Sit Down,Extreme,Hopkins,,2037,90,,50,1,,2:00,
23,Cliffhanger,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,United States,Operating,2012-06-15,Steel,Sit Down,Thrill,S&MC,Hurricane,,60,,,0,,,
0,Cliffside Coaster,Mount Van Hoevenberg,Lake Placid,New York,United States,Operating,2020-10-11,Steel,Sit Down,Thrill,Aquatic Development Group,,7600,,,,0,,,
1,Coaster,Blackbeard's Family Entertainment Center,Fresno,California,United States,Operating,2014,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
2,Coaster at Goats on the Roof,Goats on the Roof of the Smokies,Pigeon Forge,Tennessee,United States,Operating,2015,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3061,,,,0,,,
3,Coastersaurus,Legoland California,Carlsbad,California,United States,Operating,2004-04-01,Steel,Sit Down,Family,Gerstlauer Amusement Rides GmbH,Junior Coaster,492.2,18.1,,20.5,0,,,
4,Coastersaurus,Legoland Florida,Winter Haven,Florida,United States,Operating,2004-11-26,Wood,Sit Down,Family,Martin & Vleminckx,40' Junior Coaster,1365,40,,32,0,,0:50,2.5
5,Coast Rider,Knott's Berry Farm,Buena Park,California,United States,Operating,2013-05-25,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,1339,52,,,0,,,
6,Cobra,Six Flags Discovery Kingdom,Vallejo,California,United States,Operating,2000,Steel,Sit Down,Family,Zierer,Tivoli,1181.1,26.3,,22.4,0,,,
7,Cobra,FastTrax Entertainment,Fort Myers Beach,Florida,United States,Operating,2012-05-15,Steel,Sit Down,Family,Wisdom Rides,Other,,20,,,0,,,
8,Cobra's Curse,Busch Gardens Tampa,Tampa,Florida,United States,Operating,2016-06-17,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Spinning Coaster,2100,70,,40,0,,,
9,Cocoa Cruiser,Hersheypark,Hershey,Pennsylvania,United States,Operating,2014-05-10,Steel,Sit Down,Family,Zamperla,Family Coaster,,,,,0,,,
10,Colossus the Fire Dragon,Lagoon,Farmington,Utah,United States,Operating,1983,Steel,Sit Down,Extreme,Schwarzkopf,Double Looping (with additional trackway curve),2296.6,86.9,,49.1,2,,1:45,
11,Comet,Hersheypark,Hershey,Pennsylvania,United States,Operating,1946-05-30,Wood,Sit Down,Extreme,"Philadelphia Toboggan Coasters, Inc.",,3360,84,78,50,0,,1:45,
12,Comet,Great Escape,Queensbury,New York,United States,Operating,1994-06-25,Wood,Sit Down,Extreme,"Philadelphia Toboggan Coasters, Inc.",,4197,95,87,55,0,,2:00,
13,Comet,Waldameer,Erie,Pennsylvania,United States,Operating,1951,Wood,Sit Down,Family,"Philadelphia Toboggan Coasters, Inc.",,1300,37,25,25,0,,1:24,
14,Copperhead Mountain Coaster,Shepherd's Adventure Park,Branson,Missouri,United States,Operating,2021-06-12,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3116.8,,,,0,,,
15,Copperhead Strike,Carowinds,Charlotte,North Carolina,United States,Operating,2019-03-23,Steel,Sit Down,Extreme,Mack Rides GmbH & Co KG,Launch Coaster,3255,82,,50,5,,2:24,
16,Corkscrew,Cedar Point,Sandusky,Ohio,United States,Operating,1976-05-15,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2050,85,,48,3,,2:00,
17,Corkscrew,Valleyfair!,Shakopee,Minnesota,United States,Operating,1980,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,1950,85,,50,3,,1:30,
18,Corkscrew,Silverwood Theme Park,Athol,Idaho,United States,Operating,1990,Steel,Sit Down,Extreme,Arrow Dynamics,Corkscrew,1250,70,62,46,2,,,
19,Corkscrew,Michigan's Adventure,Muskegon,Michigan,United States,Operating,1979,Steel,Sit Down,Extreme,Arrow Dynamics,Corkscrew,1250,70,,45,2,,,
20,Cornball Express,Indiana Beach,Monticello,Indiana,United States,Operating,2001-05-18,Wood,Sit Down,Thrill,"Custom Coasters International, Inc.",,2100,55,,45,0,,,
21,Corona Cobra Coaster,Fantasy Forest at the Flushing Meadows Carousel,Flushing,New York,United States,Operating,2013,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
22,Cosmic Coaster,Worlds of Fun,Kansas City,Missouri,United States,Operating,1993-04-03,Steel,Sit Down,Family,Preston & Barbieri,Wacky Worm,444,,,,0,,0:55,
23,Cosmic Coaster,Valleyfair!,Shakopee,Minnesota,United States,Operating,2011-05-14,Steel,Sit Down,Family,Zamperla,Powered Coaster,213.3,,,,0,,,
0,Cowboy Coaster,Snow King Mountain,Jackson Hole,Wyoming,United States,Operating,2015-10-04,Steel,Sit Down,Thrill,Wiegand,Alpine Coaster,3280.8,,,27,0,,,
1,Crazy 8,Incredible Pizza Company,San Antonio,Texas,United States,Operating,2021,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,,,,,0,,,
2,Crazy 8's,John's Incredible Pizza Company,Carson,California,United States,Operating,2019,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,,,,,0,,,
3,Crazy Dane Coaster,Scandia Family Fun Center,Sacramento,California,United States,Operating,2015-03-30,Steel,Sit Down,Thrill,E&F Miler Industries,Wild Mouse,,,,,0,,,
4,Crazy Mouse,Steel Pier,Atlantic City,New Jersey,United States,Operating,1999,Steel,Sit Down,Thrill,Reverchon,Spinning Coaster,1377.9,42.7,,29.1,0,,1:30,2.5
5,Crazy Mouse,Playland Park,Rye,New York,United States,Operating,2003,Steel,Sit Down,Thrill,Zamperla,Zig Zag Coaster,,,,,0,,,
6,Crazy Mouse,DelGrosso's Amusement Park,Tipton,Pennsylvania,United States,Operating,2004,Steel,Sit Down,Thrill,Reverchon,Spinning Coaster,1377.9,42.7,,29.1,0,,1:30,2.5
7,Crazy Mouse,Park at OWA,Foley,Alabama,United States,Operating,2017-07-21,Steel,Sit Down,Thrill,Zamperla,Twister Coaster,1036.8,36.1,,29.2,0,,,
8,Crazy Mouse,SpeedZone,City of Industry,California,United States,Under Construction,2021,Steel,Sit Down,Thrill,Zamperla,Twister Coaster,1377.9,42.7,,29.1,0,,2:15,2.5
9,Creature Coaster,Funtastic Park,Dededo,Guam,United States,Operating,,Steel,Sit Down,Family,Zamperla,Powered Coaster,,,,,0,,,
10,Cruiser Coaster,Craig's Cruisers Family Fun Center,Wyoming,Michigan,United States,Operating,2018-02-02,Steel,Sit Down,Family,SBF Visa Group,MX608 Park Model,190,14,,,0,,,
11,Cyclone,Lakeside Amusement Park,Denver,Colorado,United States,Operating,1940-05-17,Wood,Sit Down,Thrill,,,2800,80,80,,0,50,2:00,
12,Cyclone,Luna Park,Brooklyn,New York,United States,Operating,1927-06-26,Wood,Sit Down,Thrill,,,2850.3,75,,60,0,58.6,1:50,
13,Cyclone,Wonderland Amusement Park,Amarillo,Texas,United States,Operating,1968,Steel,Sit Down,Thrill,Miler Manufacturing,Wild Mouse,,,,,0,,,
14,Cyclone,Williams Grove Amusement Park,Mechanicsburg,Pennsylvania,United States,SBNO,2006,Wood,Sit Down,,,,2300,65,60,,0,,,
15,Cyclone,Indiana Beach,Monticello,Indiana,United States,Under Construction,2022,Steel,Sit Down,Thrill,,,,,,,0,,,
16,Cyclops,Mt. Olympus Water & Theme Park,Wisconsin Dells,Wisconsin,United States,Operating,1995,Wood,Sit Down,Extreme,"Custom Coasters International, Inc.",,1900,70,75,58,0,,1:00,
17,Daddy Pig's Roller Coaster,Peppa Pig Theme Park,Winter Haven,Florida,United States,Under Construction,2022-02-24,Steel,Sit Down,Family,Zamperla,Family Coaster,,,,,0,,,
18,Dahlonega Mine Train,Six Flags Over Georgia,Austell,Georgia,United States,Operating,1967-06-16,Steel,Sit Down,Thrill,Arrow Dynamics,Mine Train,2327,37,,29,0,45,2:51,
19,Dare Devil Dive,Six Flags Over Georgia,Austell,Georgia,United States,Operating,2011-05-28,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,2099,95,,52,3,,,
20,Dark Knight,Six Flags Great America,Gurnee,Illinois,United States,Operating,2008-05-21,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,1213,,,,0,,2:00,
21,Dark Knight,Six Flags Great Adventure,Jackson,New Jersey,United States,Operating,2008-05-15,Steel,Sit Down,Thrill,Mack Rides GmbH & Co KG,Wilde Maus,1213,,,,0,,2:00,
22,Defiance,Glenwood Caverns Adventure Park,Glenwood Springs,Colorado,United States,Under Construction,2022,Steel,Sit Down,Extreme,Gerstlauer Amusement Rides GmbH,Euro-Fighter,,75,110,56,2,102.3,,
23,Demon,Six Flags Great America,Gurnee,Illinois,United States,Operating,1976-05-29,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2130,103.7,90,50,4,54,1:45,
0,Demon,California's Great America,Santa Clara,California,United States,Operating,1976-05-20,Steel,Sit Down,Extreme,Arrow Dynamics,Custom Looping Coaster,2130,102,90,50,4,54,1:45,
1,Desert Storm,Castles n' Coasters,Phoenix,Arizona,United States,Operating,1992,Steel,Sit Down,Extreme,Hopkins,,,,,,2,,,
2,Desperado,Buffalo Bill's Resort & Casino,Primm,Nevada,United States,SBNO,2019-10,Steel,Sit Down,Extreme,Arrow Dynamics,Hyper Coaster,5843,209,225,80,0,60,2:43,4
3,Diamond Back,Frontier City,Oklahoma City,Oklahoma,United States,Operating,1993,Steel,Sit Down,Extreme,Arrow Dynamics,Launched Loop,635,56,47,45,1,,1:06,4
4,Diamondback,Kings Island,Mason,Ohio,United States,Operating,2009-04-18,Steel,Sit Down,Extreme,Bolliger & Mabillard,Hyper Coaster,5282,230,215,80,0,74,3:00,
5,Diamond Mine Run,Magic Springs Theme and Water Park,Hot Springs,Arkansas,United States,Operating,2000,Steel,Sit Down,Family,E&F Miler Industries,Family Coaster,,,,,0,,,
6,Dinosaur Canyon,Deadwood,Williamston,North Carolina,United States,Operating,2008,Steel,Sit Down,Kiddie,B. A. Schiff & Associates,,,,,,0,,,
7,Dominator,Kings Dominion,Doswell,Virginia,United States,Operating,2008-05-24,Steel,Sit Down,Extreme,Bolliger & Mabillard,Floorless Coaster,4210,157,148,65,5,57,,3.8
8,Doo Wopper,Morey's Piers,Wildwood,New Jersey,United States,Operating,2005-05-14,Steel,Sit Down,Thrill,Zamperla,Zig Zag Coaster,885,35,,,0,,,
9,Dragon,Lakeside Amusement Park,Denver,Colorado,United States,Operating,1989,Steel,Sit Down,Family,Zamperla,Powered Coaster,280,,,,0,,,
10,Dragon,Canobie Lake Park,Salem,New Hampshire,United States,Operating,1991,Steel,Sit Down,Family,Zamperla,Powered Coaster,,,,,0,,,
